address,id,info,latlng,name,score,tel,type
莲湖区糖坊街17号,195987643,"2019年装修 ,2019年开业 ","34.273741,108.945523",布丁精选酒店(西安钟鼓楼北大街店),4.9,['电话：029-87396898'],经济型
长安区子午大道智慧城小区西门北50米,158758186,"2017年装修 ,2017年开业 ","34.162545,108.904226",如家酒店(西安长安大学城子午大道店),5,['电话：029-68290555'],经济型
长安区樱花一路万科棉花公寓16号楼1202室（陕西师范大学向北300米）,102814653,"2016年装修 ,2016年开业 ","34.163294,108.893972",思泊客酒店(长安大学城店),4.9,['电话：029-89251186'],经济型
碑林区东大街与端履门交汇处南100米云龙大厦2号楼,185724687,"2019年装修 ,2019年开业 ","34.257635,108.953691",轻住·云龙·维度时尚酒店(钟鼓楼回民街店),5,['电话：029-68098919'],经济型
未央区凤城六路EE新城小区3号商住楼1楼大厅,194040482,"2019年装修 ,2019年开业 ","34.333586,108.957005",尚客优精选酒店(西安未央行政中心店),4.8,['电话：029-89292646/029-68211200'],经济型
长安区顺兴路6号（顺兴路与建业三路交叉口西北角）,188634881,"2018年装修 ,2018年开业 ","34.152666,108.865066",汉庭(西安长安西北大学店),5,['电话：029-85391555'],经济型
莲湖区教场门2号,191124683,"2019年装修 ,2019年开业 ","34.266621,108.938626",轻住·怡云栖精品酒店(钟鼓楼回民街店),5,['电话：029-89624499'],经济型
灞桥区席王街办卞家村1号（唐都医院北门斜对面）,93105575,"2016年装修 ,2016年开业 ","34.287821,109.062585",如家酒店(西安四医大唐都医院北门城东客运站店),5,['电话：029-83350666/13649266814'],经济型
碑林区乐居场南路47号秦晋大厦,180534922,"2018年装修 ,2018年开业 ","34.244801,108.976067",祥安精品酒店(西安交大南门铁一中店),5,['电话：029-82471488'],经济型
未央区显庆路陕科大西门北侧（窗帘市场北隔壁）,4329720,"2015年装修 ,2013年开业 ","34.377402,108.971681",OYO·科达酒店,4.7,['电话：029-86213888'],民宿
未央区凤城二路25号,1499003,"2014年装修 ,2010年开业 ","34.318051,108.941444",如家酒店(西安凤城二路市图书馆地铁站店),4.8,['电话：029-86512288'],经济型
新城区西一路与尚德路交汇处西20米（西一路116号）,674261,"2019年装修 ,2000年开业 ","34.26172,108.959813",轻住·宏源酒店(钟楼东大街店),4.7,['电话：029-87419099'],经济型
莲湖区丰庆路39号御溪望城9栋3层（近明城墙、西北大学）,157279332,"2017年装修 ,2017年开业 ","34.250984,108.91758",轻住·里奥精品酒店(丰庆路钟鼓楼店),4.8,['电话：029-88623563'],经济型
碑林区柿园路163号（帝标大厦旁，近兴庆宫公园）,670974,"2013年装修 ,2010年开业 ","34.259482,108.98026",锦江之星(西安明城墙东门店),4.5,['电话：029-68670888/68677393'],经济型
未央区太华北路团结村壁纸市场向东100米,3316964,"2018年装修 ,2015年开业 ","34.346436,108.98174",OYO·现代连锁酒店,4.5,['电话：029-86677176/15398047319'],经济型
新城区长缨东路281号（胡家庙十字向东300米）,665556,"2019年装修 ,2007年开业 ","34.27777,109.001012",如家酒店.neo(西安胡家庙地铁站长缨东路店),4.4,['电话：029-82525858'],经济型
雁塔区东三巷10号（近电子正街，奥帕时尚购物中心）,189458870,"2018年装修 ,2018年开业 ","34.209139,108.921115",悦枫精品酒店,4.9,['电话：029-68883699'],经济型
高陵区泾河工业园泾渭中路130号（马家湾派出所隔壁）,193255140,"2019年装修 ,2019年开业 ","34.447305,108.98716",汉庭(西安泾渭新城长庆西路店),4.9,['电话：029-86030101-0'],经济型
未央区广兴路与新兴路交叉口东北角佳思家超市二楼（近广泰门地铁站C口）,189272068,"2018年装修 ,2019年开业 ","34.308545,109.016682",贝壳酒店(西安灞桥广泰门地铁口店),4.7,['电话：029-82541078/17392580136'],经济型
雁塔区朱雀大街213号（地铁2号线纬一街站A出口西500米）,4710561,"2014年装修 ,2014年开业 ","34.214077,108.939686",7天连锁酒店(西安交大医学院纬一街地铁站店),4.8,['电话：029-85353377/18629673726'],经济型
雁塔区长安中路215号西旅国际一楼东大厅,1415266,"2017年装修 ,2013年开业 ","34.22704,108.947189",尚品酒店(小寨地铁站店),4.7,['电话：029-85220850/18991862450'],经济型
长安区韦曲西街与长兴北路南150米路东（鸭掌门特色火锅对面）,4448698,"2016年装修 ,2014年开业 ","34.160719,108.936857",乔苑商务酒店(航天城店),4.9,['电话：029-62653666/62652000'],经济型
莲湖区南二环西段捷瑞公园首府4号楼4单元4层（丰庆公园南门旁）,179337455,"2018年装修 ,2018年开业 ","34.245005,108.899016",万家精品酒店(高新南二环店),4.5,['电话：029-84118867'],经济型
未央区未央路65号,119137053,"2016年装修 ,2016年开业 ","34.29669,108.947625",海友酒店(西安龙首商业街店),4.4,['电话：029-81613288'],经济型
新城区长乐西路41号长乐大厦15楼（近通化门地铁站A1出口）,78630178,"2015年装修 ,2015年开业 ","34.269886,108.993872",IU酒店(长乐西路西京医院通化门地铁站店),4.4,['电话：029-81018777'],经济型
雁塔区电子二路82号（近西部电子商城）,672167,"2010年装修 ,2010年开业 ","34.211537,108.91472",锦江之星(西安高新区电子城店),4.8,['电话：029-88896699-0/13379512162'],经济型
雁塔区科技路与太白路交汇处东100米路北,193322053,"2019年装修 ,2019年开业 ","34.224948,108.91905",都市118连锁酒店(西安太白南路地铁站店),5,['电话：029-88225276'],经济型
莲湖区西大街西段唐元宫（儿童医院正门出口，西门里沃尔玛超市对面）,2444390,"2017年装修 ,2012年开业 ","34.260144,108.926871",7天连锁酒店(西安钟鼓楼西大街店),4.3,['电话：029-87395777/87396677'],经济型
碑林区雁塔北路1号（李家村十字东北角）,41965216,"2015年装修 ,2012年开业 ","34.24168,108.963903",OYO·小米时尚酒店,4,['电话：029-87868558'],经济型
莲湖区丰禾路9号（蔚蓝花城东30米）,2536550,"2013年装修 ,2013年开业 ","34.280997,108.917532",如家酒店(西安星火立交老城根商业街店),5,['电话：029-81611388'],经济型
新城区东八路16号百瑞大厦1层,2436500,"2013年装修 ,2017年开业 ","34.274608,108.96763",速8酒店(西安火车站东广场尚勤门店),4,['电话：029-87380693'],经济型
碑林区环城南路东段100号（距离和平门地铁站200米）,67081944,"2015年装修 ,2015年开业 ","34.250729,108.966323",派酒店(西安碑林博物馆和平门地铁站店),4.3,['电话：029-82290146'],经济型
新城区公园南路139号（工程大学东200米，海方商城南侧）,664899,"2016年装修 ,2006年开业 ","34.257821,109.006892",加利利连锁酒店(工程大学公园南路长乐公园地铁站店),4.8,['电话：029-83217888/83217999/18991281390'],经济型
莲湖区莲湖路劳武巷1号（青年路派出所对面，洒金桥B口东200米）,2477308,"2016年装修 ,2013年开业 ","34.268071,108.935812",速8酒店(西安回民街洒金桥地铁站店),4.4,['电话：029-87366868'],经济型
雁塔区光德路5号（高新二路与科技路交叉口北100米）,1516043,"2010年装修 ,2010年开业 ","34.234858,108.900993",如家酒店(西安创业咖啡街区高新二路店),4.7,['电话：029-88321919/13474160772'],经济型
雁塔区电子四路1号（电子四路与电子西街十字路口东南角）,97266606,"2016年装修 ,2015年开业 ","34.204851,108.913129",如家酒店(西安高新区电子城电子四路店),4.2,['电话：029-88899994'],经济型
新城区解放路115号（距1号线五路口地铁站D出口5米）,5198559,"2018年装修 ,2013年开业 ","34.270675,108.963334",都市118连锁酒店(西安火车站机场巴士店),4.9,['电话：029-87398111'],经济型
莲湖区北关正街22号（北关正街与自强西路交叉口南100米，地铁二号线安远门地铁站B口南50米）,672036,"2017年装修 ,2010年开业 ","34.278865,108.946855",7天优品酒店(西安北门安远门地铁站店),4.6,['电话：029-62975528/86331456'],经济型
新城区北关正街鸿海大厦内（安远门地铁站c口向南50米，近北门明城墙）,1489284,"2014年装修 ,2012年开业 ","34.279129,108.947555",汉庭(西安安远门地铁站店)(原北关正街店),4.1,['电话：029-65656565-0'],经济型
莲湖区大兴东路2号（龙湖·星悦荟步行街西侧，龙湖国际1号楼2号厅西侧）,5999196,"2016年装修 ,2014年开业 ","34.285135,108.918953",汉庭(西安朱宏路龙湖商业街店),4.3,['电话：029-63362777/13263346521/13552866991'],经济型
雁塔区科技二路与白沙路交汇口东南角（近西安文理学院）,669583,"2014年装修 ,2009年开业 ","34.219686,108.906101",如家酒店(西安高新区科技二路文理学院北门店),4.6,['电话：029-68595888'],经济型
雁塔区电子二路74号光大银行3楼（电子正街与电子二路交叉口东30米，军城超市东边）,1530038,"2019年装修 ,2012年开业 ","34.211652,108.921044",如家酒店(西安电子二路石油大学店),4.7,['电话：029-65682222'],经济型
雁塔区高新开发区唐兴路8号（枫叶新都市南门正对面，陕鼓北门）,1541344,"2015年装修 ,2009年开业 ","34.232298,108.88447",西安加利利连锁酒店(高新软件园店),4.7,['电话：029-88191777'],经济型
雁塔区南二环西段永松路125号（近陕西省商贸学校，老三届世纪星大厦南100米）,2438681,"2018年装修 ,2013年开业 ","34.229247,108.927319",如家酒店(西安南二环人才市场店),4.8,['电话：029-88880505'],经济型
雁塔区电子西街3号801B座（205所斜对面）,168930728,"2018年装修 ,2018年开业 ","34.208068,108.910658",怡莱酒店(西安高新电子城店),4.5,['电话：029-62270066'],经济型
未央区元朔路长乐东苑c区3号楼,192619095,"2019年装修 ,2019年开业 ","34.373026,108.953028",豆芽公寓酒店(北客站店),4.9,['电话：18729523112/17391832331'],经济型
灞桥区华清东路灞桥火车站东200米,2366511,"2015年装修 ,2012年开业 ","34.301072,109.064023",速8酒店(西安灞桥华东钢贸城店),4,['电话：029-83500066'],经济型
新城区北大街163号（和平电影院南侧，地铁北大街站D出口北100米路东）,80997,"2016年装修 ,2016年开业 ","34.27248,108.94749",怡莱酒店(西安钟楼北大街店),4,['电话：029-87271611/18109253661'],经济型
未央区明光路51号（凤城三路与凤城四路中段）,6893380,"2013年装修 ,2013年开业 ","34.325074,108.93002",如家酒店(西安北经济技术开发区明光路店),4.4,['电话：029-86510011'],经济型
