address,id,info,latlng,name,score,tel,type
新城区咸宁西路西安交通大学东100米,168474535,,"34.256789,108.99702",友谊快捷酒店交大店,,['电话：15829244555'],民宿
未央区石化大道南玉丰村中段,42352865,"2014年装修 ,2014年开业 ","34.32394,108.91383",天隆宾馆(南玉丰村店),,['电话：029-86262520'],民宿
灞桥区席王路56号（近唐都医院、城东客运站）,112012470,2018年开业 ,"34.286855,109.072024",聚贤商务宾馆,,['电话：029-83520368'],民宿
莲湖区北大街宏城国际公寓,191126055,"2018年装修 ,2019年开业 ","34.265811,108.945639",路客精品民宿(西安钟鼓楼三分店),4.7,['电话：400-999-9270/18629613749/18675962642'],民宿
莲湖区西大街246号唐人街小区,186800426,"2018年装修 ,2018年开业 ","34.258846,108.930672",路客精品民宿(西安回民街桥梓口店),,['电话：400-999-9270/18629613749/18688846997'],民宿
灞桥区咸宁东路恒大绿洲小区49号楼3001室,194288558,"2017年装修 ,2019年开业 ","34.253185,109.040848",家在旅途温馨公寓(咸宁东路店),4.6,['电话：13383518383'],经济型
未央区元朔路长乐东苑C区,174905253,"2018年装修 ,2017年开业 ","34.373066,108.953759",西安家居宾馆,,['电话：13991280676/13772199362'],经济型
未央区龙首北路与未央路交汇处东北角宫园壹号二期,177770299,"2018年装修 ,2018年开业 ","34.29299,108.951144",西安豆小白的家公寓,,['电话：18049266808'],经济型
新城区幸福南路109号华清学院华清堂A座,184763398,"2018年装修 ,2018年开业 ","34.246579,109.019864",西安华清鼎立酒店,,['电话：029-82628080'],经济型
碑林区仁厚庄南路星币传说,177472629,"2018年装修 ,2018年开业 ","34.256504,108.99523",西安网宿民宿,,['电话：18710721573'],经济型
未央区凤城南路和文景路交叉口盛龙广场9号地，（地铁2号线大明宫西地铁口B口附近）,182585244,"2018年装修 ,2010年开业 ","34.302431,108.941419",永兰之家民宿,,['电话：18510126157/18309215513'],经济型
莲湖区北大街88号假日国际公寓6楼（近钟鼓楼、回民街）,917471897,"2019年装修 ,2019年开业 ","34.266579,108.946548",怡美恋家公寓酒店(西安钟鼓楼明城墙店),,['电话：13201885008'],经济型
碑林区太白北路256号泰华金汇时代,184923721,,"34.244105,108.922879",三彩家民宿(西北大/西工大店),,['电话：4000660190'],民宿
长安区东长安街501号运维国际培训中心,189920477,"2018年装修 ,2018年开业 ","34.155744,108.98",运维之家酒店,,['电话：029-89682111/13389288836'],经济型
碑林区环城南路东段香港宏信国际花园2号楼2单元13楼（近西安城墙、永宁门地铁站D2口）,194647668,"2019年装修 ,2019年开业 ","34.249865,108.950533",旎家智能精选公寓酒店,,['电话：18092905178'],经济型
新城区长乐中路钻石星座A-2104,192295827,"2019年装修 ,2019年开业 ","34.271604,108.997646",路客精品民宿(西安通化门地铁站店),,['电话：400-999-9270/18665080469/18666624093'],民宿
碑林区环城南路宏信国际花园,191123281,"2019年装修 ,2019年开业 ","34.249054,108.950755",路客精品民宿(西安永宁门地铁站店),,['电话：400-999-9270/15353993029'],民宿
莲湖区桥梓口上海城公馆（近回民街）,191143151,2019年开业 ,"34.259987,108.931865",路客精品民宿(西安回民街店),,['电话：400-999-9270/18620179092'],民宿
莲湖区回民街大学习巷64号（近钟楼、鼓楼）,659325963,"2019年装修 ,2019年开业 ","34.261407,108.936153",期与归民宿(回民街钟鼓楼店),4.7,['电话：17792468740/13638694035'],经济型
碑林区文艺北路望城国际,185176066,"2018年装修 ,2018年开业 ","34.247924,108.953491",路客精品公寓(文艺北路店),,['电话：400-999-9270/18629613749/18529107305'],民宿
未央区未央路与玄武路交汇处宫园中央,191126053,"2019年装修 ,2019年开业 ","34.303765,108.949478",路客精品民宿(西安大明宫地铁站店),,['电话：400-999-9270/13160845735'],民宿
临潼区秦唐大道与芷阳路交口东南角,194436750,,"34.370119,109.190201",西安西屋宾馆,,['电话：17719584168'],民宿
雁塔区芙蓉东路121号丰景佳园,179298295,"2018年装修 ,2018年开业 ","34.218005,108.971711",居派空间公寓(西安大雁塔店),,['电话：18518256882'],经济型
未央区城北未央大道添好花园,187881007,"2019年装修 ,2019年开业 ","34.308041,108.950988",路客精品公寓(市政府地铁站店),,['电话：400-999-9270/17691206302/18666624093'],民宿
莲湖区北大街宏府嘉会公寓A座1009,114740346,2016年开业 ,"34.262299,108.946547",西安钟楼鼓楼公寓酒店,,['电话：15349299301'],民宿
未央区未央路220号紫薇苑·欧洲世家，运动公园。（火车北站/市政府周围）,157192397,"2017年装修 ,2015年开业 ","34.349778,108.94714",hope house普通公寓,,['电话：'],民宿
新城区华清西路225号坚果公寓1单元901室,194925637,"2019年装修 ,2019年开业 ","34.279799,108.980937",生活·派主题公寓,,['电话：18392000633'],经济型
莲湖区北大街88号,191749782,,"34.262794,108.946737",回民街艾麦顿拉之家,,['电话：15029908352'],民宿
莲湖区文景南路上和城,189995460,,"34.288368,108.941269",弯弯民宿(红庙坡店),,['电话：4000660190'],民宿
雁塔区慈恩路与芙蓉西路交汇处曲江皇家花园D12栋,180044061,"2018年装修 ,2018年开业 ","34.216306,108.96909",浣花溪民宿,,['电话：18089261103'],经济型
碑林区长安北路大话南门2期,191142155,"2018年装修 ,2018年开业 ","34.239841,108.949309",路客精品民宿(西安南稍门地铁站省体育场一分店),,['电话：400-999-9270/18629613749/18392691631'],民宿
碑林区德福巷22号德福巷小区,191129604,"2018年装修 ,2019年开业 ","34.254575,108.943828",路客精品民宿(西安德福巷酒吧街店),,['电话：400-999-9270/15886775559'],民宿
碑林区长安北路中段新文巷骊马豪城,164110980,"2018年装修 ,2018年开业 ","34.236487,108.949887",天地汇民宿,,['电话：13384957145/15399018331'],经济型
