address,id,info,latlng,name,score,tel,type
未央区建元一路长乐东苑A区8-1号商铺,190704844,"2019年装修 ,2018年开业 ","108.951745,34.37417",尚客优连锁酒店(西安未央高铁北客站店),4.9,['电话：029-86255666/18700888826/18700888827/18192221552'],经济型
新城区环城北路173号（火车站出站口向西100米）,672253,"2014年装修 ,2009年开业 ","108.95902,34.27712",悦客来连锁旅店(泽苑店),4.0,['电话：029-86276123/86276263'],经济型
未央区凤城二路43号（凤城二路与明光路交叉口东70米路北）,157242092,"2017年装修 ,2017年开业 ","108.930489,34.31799",天悦酒店(凤城二路店),4.8,['电话：029-86677842/86677642/17791965926'],经济型
碑林区环城东路5号（近交通大学，李家村万达广场）,573009,"2016年装修 ,2007年开业 ","108.97337,34.252128",锦江之星(西安建国门交大和平门地铁站店),4.4,['电话：029-68678888/68679999-0'],经济型
雁塔区大寨路2号（近东方米兰小区门口）,2438685,"2013年装修 ,2013年开业 ","108.880596,34.244583",锦江之星(西安高新区大寨路融侨城店),5.0,['电话：029-88770088'],经济型
新城区解放路110号（近西一路）,665120,"2013年装修 ,2006年开业 ","108.962786,34.262421",锦江之星酒店(西安钟楼大差市地铁站酒店),4.6,['电话：029-87452288/87439695'],经济型
未央区尚贤路2号兴隆苑小区10栋25层,188031269,"2018年装修 ,2018年开业 ","108.952919,34.387755",真爱情侣主题酒店(高铁站店),5.0,['电话：19909228517'],经济型
碑林区朱雀大街北段38号金牛锅炉大厦（西安公馆对面）,169958689,"2018年装修 ,2018年开业 ","108.938756,34.244963",轻住·西安领悦商务酒店,4.2,['电话：029-88330909'],经济型
雁塔区南二环东段68号,83511494,"2016年装修 ,2016年开业 ","108.987506,34.238683",尚客优连锁酒店(南二环武警医院店),4.1,['电话：029-87553861/87553860'],经济型
雁塔区太白南路甲字6号上上国际大厦一层（太白南路地铁C1出口南100米）,163529562,"2017年装修 ,2017年开业 ","108.915625,34.223318",速8酒店(西安太白南路地铁站店),4.8,['电话：029-81610800'],经济型
碑林区文艺北路59号,162890879,"2018年装修 ,2018年开业 ","108.954187,34.243011",西安曼辰酒店,4.9,['电话：029-88855506'],舒适型
雁塔区长安中路215号西旅国际2459（小寨地铁站D出口赛格北350米，近大雁塔陕西历史博物馆）,160541278,"2018年装修 ,2017年开业 ","108.94733,34.227069",乐享精美主题酒店(大雁塔小寨赛格店),4.9,['电话：029-81545165'],经济型
新城区北关正街二马路546号（北稍门人人乐超市南侧，近地铁安远门站D口）,1157145,"2015年装修 ,2017年开业 ","108.948314,34.284011",格林豪泰快捷酒店(西安钟楼安远门地铁站店),4.0,['电话：029-88116622'],经济型
碑林区五道什字西街2号（距永兴坊美食街、明城墙200米）,2459939,"2014年装修 ,2013年开业 ","108.973498,34.264321",加利利连锁酒店(永兴坊美食街朝阳门地铁站店),4.6,['电话：029-82283111/82283222'],经济型
雁塔区长安南路82号（华城国际小区国美电器城西）,5241761,"2015年装修 ,2012年开业 ","108.944901,34.190683",布丁酒店(西安曲江会展中心电视塔店),4.0,['电话：029-85590066/87874350'],经济型
雁塔区科技路与博文路交汇处东南角,50885408,"2016年装修 ,2015年开业 ","108.90784,34.229256",7天连锁酒店(西安西高新科技路地铁站店),4.2,['电话：029-88212382/18629318001'],经济型
未央区太华北路大明宫万达14号公寓15层（近地铁4号线余家寨站，近大明宫遗址公园）,99385818,"2018年装修 ,2016年开业 ","108.975323,34.316576",夏日King公寓酒店(大明宫万达店),5.0,['电话：029-61892212/18392993688'],经济型
未央区凤城八路与贞观路交汇处南200米荣华北经城北区2号楼（六婆串串香东侧，近地铁4号线市中医院站C出口）,110924648,"2018年装修 ,2016年开业 ","108.958814,34.33854",久居酒店,4.9,['电话：17782831180/18229092486'],经济型
雁塔区太白南路6号迷你国度大厦（与科创路交汇处西北角，太白南路地铁站C1出口南200米）,1163979,"2018年装修 ,2006年开业 ","108.914997,34.222698",小憩驿站酒店(太白南路地铁站店),4.5,['电话：029-68912777/68912766/15309258061'],经济型
雁塔区长鸣路长鸣建材城6楼（和记万佳国际家居城对面）,156658051,"2017年装修 ,2017年开业 ","109.020907,34.227393",尚客优连锁酒店(西安长鸣路店),4.5,['电话：029-85504967'],经济型
碑林区太白北路6号（太白立交北侧路西、碑林法院隔壁）,67700087,"2015年装修 ,2015年开业 ","108.922738,34.236484",简妮花园精品酒店,4.6,['电话：029-89388300'],舒适型
新城区东二环金花南路13号（长兴路理工大家属院北门对面，长乐公园地铁站附近）,1565344,"2018年装修 ,2012年开业 ","109.000272,34.255909",汉庭(西安咸宁路地铁站店)(原东二环理工大店),4.2,['电话：029-82295555'],经济型
