address,id,info,latlng,name,score,tel,type
未央区建元一路长乐东苑A区8-1号商铺,190704844,"2019年装修 ,2018年开业 ","34.37417,108.951745",尚客优连锁酒店(西安未央高铁北客站店),4.9,['电话：029-86255666/18700888826/18700888827/18192221552'],经济型
新城区环城北路173号（火车站出站口向西100米）,672253,"2014年装修 ,2009年开业 ","34.27712,108.95902",悦客来连锁旅店(泽苑店),4.0,['电话：029-86276123/86276263'],经济型
未央区凤城二路43号（凤城二路与明光路交叉口东70米路北）,157242092,"2017年装修 ,2017年开业 ","34.31799,108.930489",天悦酒店(凤城二路店),4.8,['电话：029-86677842/86677642/17791965926'],经济型
碑林区环城东路5号（近交通大学，李家村万达广场）,573009,"2016年装修 ,2007年开业 ","34.252128,108.97337",锦江之星(西安建国门交大和平门地铁站店),4.4,['电话：029-68678888/68679999-0'],经济型
雁塔区大寨路2号（近东方米兰小区门口）,2438685,"2013年装修 ,2013年开业 ","34.244583,108.880596",锦江之星(西安高新区大寨路融侨城店),5.0,['电话：029-88770088'],经济型
新城区解放路110号（近西一路）,665120,"2013年装修 ,2006年开业 ","34.262421,108.962786",锦江之星酒店(西安钟楼大差市地铁站酒店),4.6,['电话：029-87452288/87439695'],经济型
未央区尚贤路2号兴隆苑小区10栋25层,188031269,"2018年装修 ,2018年开业 ","34.387755,108.952919",真爱情侣主题酒店(高铁站店),5.0,['电话：19909228517'],经济型
碑林区朱雀大街北段38号金牛锅炉大厦（西安公馆对面）,169958689,"2018年装修 ,2018年开业 ","34.244963,108.938756",轻住·西安领悦商务酒店,4.2,['电话：029-88330909'],经济型
雁塔区南二环东段68号,83511494,"2016年装修 ,2016年开业 ","34.238683,108.987506",尚客优连锁酒店(南二环武警医院店),4.1,['电话：029-87553861/87553860'],经济型
雁塔区太白南路甲字6号上上国际大厦一层（太白南路地铁C1出口南100米）,163529562,"2017年装修 ,2017年开业 ","34.223318,108.915625",速8酒店(西安太白南路地铁站店),4.8,['电话：029-81610800'],经济型
碑林区文艺北路59号,162890879,"2018年装修 ,2018年开业 ","34.243011,108.954187",西安曼辰酒店,4.9,['电话：029-88855506'],舒适型
雁塔区长安中路215号西旅国际2459（小寨地铁站D出口赛格北350米，近大雁塔陕西历史博物馆）,160541278,"2018年装修 ,2017年开业 ","34.227069,108.94733",乐享精美主题酒店(大雁塔小寨赛格店),4.9,['电话：029-81545165'],经济型
新城区北关正街二马路546号（北稍门人人乐超市南侧，近地铁安远门站D口）,1157145,"2015年装修 ,2017年开业 ","34.284011,108.948314",格林豪泰快捷酒店(西安钟楼安远门地铁站店),4.0,['电话：029-88116622'],经济型
碑林区五道什字西街2号（距永兴坊美食街、明城墙200米）,2459939,"2014年装修 ,2013年开业 ","34.264321,108.973498",加利利连锁酒店(永兴坊美食街朝阳门地铁站店),4.6,['电话：029-82283111/82283222'],经济型
雁塔区长安南路82号（华城国际小区国美电器城西）,5241761,"2015年装修 ,2012年开业 ","34.190683,108.944901",布丁酒店(西安曲江会展中心电视塔店),4.0,['电话：029-85590066/87874350'],经济型
雁塔区科技路与博文路交汇处东南角,50885408,"2016年装修 ,2015年开业 ","34.229256,108.90784",7天连锁酒店(西安西高新科技路地铁站店),4.2,['电话：029-88212382/18629318001'],经济型
未央区太华北路大明宫万达14号公寓15层（近地铁4号线余家寨站，近大明宫遗址公园）,99385818,"2018年装修 ,2016年开业 ","34.316576,108.975323",夏日King公寓酒店(大明宫万达店),5.0,['电话：029-61892212/18392993688'],经济型
未央区凤城八路与贞观路交汇处南200米荣华北经城北区2号楼（六婆串串香东侧，近地铁4号线市中医院站C出口）,110924648,"2018年装修 ,2016年开业 ","34.33854,108.958814",久居酒店,4.9,['电话：17782831180/18229092486'],经济型
雁塔区太白南路6号迷你国度大厦（与科创路交汇处西北角，太白南路地铁站C1出口南200米）,1163979,"2018年装修 ,2006年开业 ","34.222698,108.914997",小憩驿站酒店(太白南路地铁站店),4.5,['电话：029-68912777/68912766/15309258061'],经济型
雁塔区长鸣路长鸣建材城6楼（和记万佳国际家居城对面）,156658051,"2017年装修 ,2017年开业 ","34.227393,109.020907",尚客优连锁酒店(西安长鸣路店),4.5,['电话：029-85504967'],经济型
碑林区太白北路6号（太白立交北侧路西、碑林法院隔壁）,67700087,"2015年装修 ,2015年开业 ","34.236484,108.922738",简妮花园精品酒店,4.6,['电话：029-89388300'],舒适型
新城区东二环金花南路13号（长兴路理工大家属院北门对面，长乐公园地铁站附近）,1565344,"2018年装修 ,2012年开业 ","34.255909,109.000272",汉庭(西安咸宁路地铁站店)(原东二环理工大店),4.2,['电话：029-82295555'],经济型
雁塔区太平堡三道巷38号,191719233,"2019年装修 ,2019年开业 ","34.215033,108.967087",金芙蓉酒店,4.8,['电话：18049077645'],经济型
雁塔区电子正街287号（我爱我家小区旁）,175319278,"2018年装修 ,2018年开业 ","34.2042,108.920453",尚客优快捷酒店(西安电子城店),4.5,['电话：029-88890533'],经济型
莲湖区北大街一号宏府嘉会B座8032室（钟楼地铁站A入口北二十米，山水时尚酒店楼上）,1443090,"2016年装修 ,2011年开业 ","34.26278,108.946421",丽都公寓酒店(钟鼓楼回民街店),5.0,['电话：029-86334055/18991148817'],经济型
高陵区泾渭路2562号杨官寨村综合楼4号楼,193969700,"2019年装修 ,2019年开业 ","34.46361,109.004752",Y酒店(西安泾渭工业园店),4.9,['电话：029-86032678/029-86959088/13333568215'],舒适型
未央区经济技术开发区北二环与未央路立交交汇处东南角陕西海联大厦（大明宫西地铁站北150米）,2533549,"2018年装修 ,2010年开业 ","34.30842,108.947776",如家酒店(西安北二环大明宫西地铁站店),4.8,['电话：029-86365588'],经济型
雁塔区科技二路东段西安文理学院北门西100米（刘小厨隔壁，仙草堂楼下）,30518,"2016年装修 ,2011年开业 ","34.219596,108.907109",布丁酒店(西安科技二路文理学院北门店),4.6,['电话：029-88269770'],经济型
莲湖区沣镐东路190号（桃园路与沣镐东路交叉口西南角）,665558,"2009年装修 ,2009年开业 ","34.258912,108.900334",如家酒店(西安西稍门机场大巴站店),4.3,['电话：029-88881199-9'],经济型
灞桥区咸宁东路531号（安装四处公交站西50米路北，江浙商城旁）,1515355,"2015年装修 ,2012年开业 ","34.251435,109.027493",高阁快捷酒店,4.1,['电话：029-83288117/83294477'],经济型
未央区尚贤路2号兴隆苑小区10号楼4层408,192641640,"2018年装修 ,2019年开业 ","34.389958,108.953894",西安福福酒店,5.0,['电话：18182402185'],经济型
新城区顺城北路东段火车站东广场尚勤门与尚俭门城墙连接处（火车站广场东200米）,50521755,"2015年装修 ,2015年开业 ","34.276236,108.966056",布丁酒店(西安明城墙火车站店),4.1,['电话：029-63398299/83509059'],经济型
新城区尚德路255号（近火车站）,101059165,"2017年装修 ,2017年开业 ","34.273808,108.96095",尚客优连锁酒店(西安火车站店),4.0,['电话：029-87481000'],经济型
雁塔区高新科技路76号（科技路地铁站D口东300米路北，近徐家庄西南口）,191288349,"2018年装修 ,2019年开业 ","34.229677,108.908448",都市花园酒店(西安高新区科技路地铁站店),5.0,['电话：029-89189070/17349068358'],经济型
莲湖区北大街1号西华门十字宏府嘉会广场C座,81101328,"2019年装修 ,2015年开业 ","34.263005,108.946727",派酒店(西安钟楼回民街地铁站店),4.9,['电话：029-87384925'],经济型
未央区太华北路大明宫万达广场4号公寓15楼（4号地铁余家寨C口出旁）,42517250,"2015年装修 ,2015年开业 ","34.316466,108.97228",金地假日酒店(西安余家寨地铁站店),4.9,['电话：029-86677555'],舒适型
碑林区文艺北路甲字一号（文昌门外东南角，近永宁门地铁站）,1172325,"2016年装修 ,2011年开业 ","34.249986,108.954356",加利利连锁酒店(南门碑林博物馆店),4.5,['电话：029-85233777/85239666'],经济型
新城区韩森路101号华林大厦内（韩森路与康乐路交汇处）,1497971,"2015年装修 ,2011年开业 ","34.259383,109.010092",润佳连锁酒店(西安工程大学万寿路地铁站店),4.5,['电话：029-82516000/62780222'],经济型
新城区解放路258号欢乐城7楼（解放路万达广场对面）,1543167,"2016年装修 ,2012年开业 ","34.268222,108.962608",布丁酒店(西安火车站五路口地铁站店),4.0,['电话：029-62636088'],经济型
碑林区大学南路246号（西北大学旁）,2466660,"2018年装修 ,2013年开业 ","34.245873,108.921947",古都朗悦酒店(边家村西北大学店),4.8,['电话：029-88499123/88482698/88480425'],舒适型
莲湖区沣镐东路42号（华润万家南100米）,2526511,"2018年装修 ,2008年开业 ","34.257318,108.890171",如家酒店(西安西二环土门店),4.9,['电话：029-84236868-9'],经济型
长安区韦曲街道长兴南路出入境管理局对面（延安大学创新学院南200米）,192300995,"2019年装修 ,2019年开业 ","34.149358,108.934561",轻住·长安州际酒店,5.0,['电话：029-86193888'],舒适型
新城区东八路百瑞大厦18号（东八路与尚勤路交叉口）,5789439,"2015年装修 ,2014年开业 ","34.27465,108.96786",7天连锁酒店(西安火车站店),4.2,['电话：029-87376077'],经济型
莲湖区西大街与桥梓口交汇处南150米如意大厦（近钟鼓楼、回民街）,2400904,"2017年装修 ,2012年开业 ","34.257392,108.932843",布丁酒店(西安钟鼓楼回民街西大街儿童医院店),4.2,['电话：029-87626688'],经济型
碑林区东大街132号（近地铁4号线大差市站C出口，第四医院旁）,40987833,"2019年装修 ,2015年开业 ","34.258272,108.965351",布丁酒店(西安钟鼓楼大差市地铁站店),4.2,['电话：029-87376699/17719026001'],经济型
灞桥区新医路唐都医院正门向南100米,175328208,"2018年装修 ,2018年开业 ","34.280605,109.062861",青梅精品酒店(唐都医院店),4.8,['电话：029-68807535/15332412348'],经济型
雁塔区西影路289号（与经九路交汇处，地铁3号线北池头站东行600米）,674065,"2017年装修 ,2008年开业 ","34.227007,108.984303",山水商务酒店,4.0,['电话：029-85566333'],经济型
新城区西七路291号西北设计院内（近回民街，北大街地铁站D出口）,2488415,"2017年装修 ,2016年开业 ","34.274656,108.949185",布丁酒店(西安钟楼北大街地铁站店),4.8,['电话：029-68765333-802'],经济型
未央区北二环路名京·九合院8号楼1单元11楼,164014775,"2019年装修 ,2019年开业 ","34.309195,108.944288",西安君名主题酒店,5.0,['电话：029-89368899/13319230203'],经济型
雁塔区白沙路与科创路交汇处东南角（毗邻西安文理学院）,1172309,"2017年装修 ,2011年开业 ","34.224506,108.909145",布丁酒店(西安科技路店),4.4,['电话：029-88237811'],经济型
